City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Mataura,NZ,-46.1927,168.8643,63.48,58,28,3.36,scattered clouds,2022-03-13 22:46:57
1,Avera,US,33.194,-82.5271,55.45,36,0,4.92,clear sky,2022-03-13 22:46:58
2,Vaini,TO,-21.2,-175.2,86.16,74,40,6.91,scattered clouds,2022-03-13 22:46:58
3,Ilulissat,GL,69.2167,-51.1,3.22,66,100,9.22,overcast clouds,2022-03-13 22:46:58
4,Ledyard,US,41.4398,-72.0142,33.28,49,20,14.97,few clouds,2022-03-13 22:46:59
5,Cape Town,ZA,-33.9258,18.4232,60.28,63,20,11.5,few clouds,2022-03-13 22:44:19
6,Khandyga,RU,62.6667,135.6,-4.25,97,100,1.25,overcast clouds,2022-03-13 22:46:59
7,Lompoc,US,34.6391,-120.4579,77.56,79,75,19.57,broken clouds,2022-03-13 22:47:00
8,Otradnoye,RU,59.7775,30.8181,32.04,99,96,1.83,overcast clouds,2022-03-13 22:47:00
9,Saint-Joseph,RE,-21.3667,55.6167,77.38,86,80,11.65,light rain,2022-03-13 22:47:00
10,Midland,US,31.9974,-102.0779,71.06,12,0,16.11,clear sky,2022-03-13 22:43:44
11,Mehamn,NO,71.0357,27.8492,39.15,75,0,14.97,clear sky,2022-03-13 22:47:00
12,Castro,BR,-24.7911,-50.0119,63.63,98,100,2.06,overcast clouds,2022-03-13 22:47:01
13,Chokurdakh,RU,70.6333,147.9167,-9.06,91,100,4.47,overcast clouds,2022-03-13 22:47:01
14,Makakilo City,US,21.3469,-158.0858,82.72,53,0,14.97,clear sky,2022-03-13 22:44:26
15,Kapaa,US,22.0752,-159.319,80.58,68,0,9.22,clear sky,2022-03-13 22:47:01
16,Yellowknife,CA,62.456,-114.3525,0.41,61,20,12.66,few clouds,2022-03-13 22:43:37
17,Port Lincoln,AU,-34.7333,135.8667,73.51,57,85,8.43,overcast clouds,2022-03-13 22:47:02
18,Mar Del Plata,AR,-38.0023,-57.5575,68.09,85,0,8.05,clear sky,2022-03-13 22:45:09
19,Egvekinot,RU,66.3167,-179.1667,12.29,63,0,3.09,clear sky,2022-03-13 22:47:02
20,Bethel,US,41.3712,-73.414,33.03,53,100,5.99,overcast clouds,2022-03-13 22:42:22
21,Palmer,US,42.1584,-72.3287,33.42,37,20,12.66,few clouds,2022-03-13 22:47:02
22,Yurginskoye,RU,56.8189,67.3921,7.34,88,100,8.08,overcast clouds,2022-03-13 22:47:03
23,Gravdal,NO,68.1214,13.5031,33.69,80,0,1.14,clear sky,2022-03-13 22:47:03
24,Mount Isa,AU,-20.7333,139.5,85.77,51,17,0.0,few clouds,2022-03-13 22:47:03
25,Ushuaia,AR,-54.8,-68.3,40.66,87,75,24.16,light rain,2022-03-13 22:46:49
26,Valle De Angeles,HN,14.15,-87.0333,82.29,45,62,8.86,broken clouds,2022-03-13 22:47:04
27,Ribeira Grande,PT,38.5167,-28.7,56.17,61,96,10.49,overcast clouds,2022-03-13 22:47:04
28,Atuona,PF,-9.8,-139.0333,78.91,71,89,13.4,overcast clouds,2022-03-13 22:47:04
29,Isangel,VU,-19.55,169.2667,84.96,64,27,4.38,scattered clouds,2022-03-13 22:47:05
30,Kharan,PK,28.5833,65.4167,75.76,33,38,4.59,scattered clouds,2022-03-13 22:47:05
31,Port Elizabeth,ZA,-33.918,25.5701,63.1,88,20,20.71,few clouds,2022-03-13 22:47:05
32,Klaksvik,FO,62.2266,-6.589,43.72,95,100,21.47,overcast clouds,2022-03-13 22:47:05
33,Kruisfontein,ZA,-34.0033,24.7314,60.89,86,100,18.84,light rain,2022-03-13 22:47:06
34,Kalaleh,IR,37.3807,55.4916,47.44,81,1,3.98,clear sky,2022-03-13 22:47:06
35,Lebu,CL,-37.6167,-73.65,59.27,76,2,21.09,clear sky,2022-03-13 22:47:06
36,Kodiak,US,57.79,-152.4072,40.51,81,100,21.85,light rain,2022-03-13 22:47:06
37,Saint-Pierre,RE,-21.3393,55.4781,78.48,84,100,11.5,overcast clouds,2022-03-13 22:47:07
38,Lavrentiya,RU,65.5833,-171.0,11.05,70,1,3.78,clear sky,2022-03-13 22:47:07
39,Victoria,HK,22.2855,114.1577,71.94,89,62,5.99,broken clouds,2022-03-13 22:43:11
40,Tupik,RU,54.4253,119.9327,6.76,96,100,4.0,light snow,2022-03-13 22:47:07
41,Provideniya,RU,64.3833,-173.3,21.36,38,0,13.42,clear sky,2022-03-13 22:47:08
42,Morant Bay,JM,17.8815,-76.4093,85.71,76,5,11.77,clear sky,2022-03-13 22:42:22
43,Saint-Philippe,RE,-21.3585,55.7679,78.39,88,86,12.21,light rain,2022-03-13 22:42:24
44,Longyearbyen,SJ,78.2186,15.6401,24.64,93,0,2.3,clear sky,2022-03-13 22:47:08
45,Azua,DO,18.4532,-70.7349,79.59,82,96,2.35,overcast clouds,2022-03-13 22:47:08
46,Krasnoselkup,RU,65.7,82.4667,-11.61,100,95,7.9,overcast clouds,2022-03-13 22:47:09
47,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,83,20,12.66,few clouds,2022-03-13 22:47:09
