City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Carlsbad,US,2022-03-07 00:52:01,33.1581,-117.3506,61.86,63,0,8.05
1,Carutapera,BR,2022-03-07 00:55:20,-1.195,-46.02,73.76,96,100,5.88
2,Atuona,PF,2022-03-07 00:55:20,-9.8,-139.0333,78.84,76,27,11.72
3,New Norfolk,AU,2022-03-07 00:51:34,-42.7826,147.0587,64.92,37,83,3.18
4,Busselton,AU,2022-03-07 00:55:21,-33.65,115.3333,73.04,63,1,15.95
5,Hambantota,LK,2022-03-07 00:55:21,6.1241,81.1185,75.54,100,20,1.14
6,Lebork,PL,2022-03-07 00:55:21,54.5392,17.7501,31.91,93,4,5.53
7,Punta Arenas,CL,2022-03-07 00:55:21,-53.15,-70.9167,46.42,70,40,4.61
8,Chuy,UY,2022-03-07 00:55:22,-33.6971,-53.4616,69.96,91,100,5.12
9,Torbay,CA,2022-03-07 00:55:22,47.6666,-52.7314,24.76,71,40,6.91
10,Kavieng,PG,2022-03-07 00:55:22,-2.5744,150.7967,83.44,71,95,4.88
11,Manzhouli,CN,2022-03-07 00:55:22,49.6,117.4333,19.24,72,20,4.59
12,Georgetown,MY,2022-03-07 00:51:36,5.4112,100.3354,78.73,99,20,3.44
13,Canto Do Buriti,BR,2022-03-07 00:55:23,-8.11,-42.9444,72.59,92,93,2.44
14,Xining,CN,2022-03-07 00:55:23,36.6167,101.7667,35.37,22,0,3.15
15,Taoudenni,ML,2022-03-07 00:55:23,22.6783,-3.9836,68.16,13,0,11.32
16,Hithadhoo,MV,2022-03-07 00:55:24,-0.6,73.0833,82.17,67,12,7.58
17,Waupun,US,2022-03-07 00:55:24,43.6333,-88.7296,35.02,78,100,8.77
18,Lata,PT,2022-03-07 00:55:24,40.1629,-8.3327,42.71,69,0,3.56
19,Korla,CN,2022-03-07 00:55:24,41.7597,86.1469,42.64,33,100,5.3
20,Rikitea,PF,2022-03-07 00:55:25,-23.1203,-134.9692,79.34,78,100,18.5
21,Khatanga,RU,2022-03-07 00:55:25,71.9667,102.5,-19.19,100,95,2.66
22,Albany,US,2022-03-07 00:55:02,42.6001,-73.9662,61.52,72,9,1.01
23,Port Hardy,CA,2022-03-07 00:55:25,50.6996,-127.4199,53.76,81,75,12.66
24,Teahupoo,PF,2022-03-07 00:55:25,-17.8333,-149.2667,80.56,75,65,14.43
25,Hobart,AU,2022-03-07 00:55:26,-42.8794,147.3294,65.26,50,75,8.05
26,Keokuk,US,2022-03-07 00:55:26,40.3973,-91.3849,41.22,70,75,10.36
27,Port Elizabeth,ZA,2022-03-07 00:55:26,-33.918,25.5701,75.09,88,0,0.0
28,Kruisfontein,ZA,2022-03-07 00:55:26,-34.0033,24.7314,72.88,49,100,7.61
29,Arraial Do Cabo,BR,2022-03-07 00:55:27,-22.9661,-42.0278,78.66,78,0,16.11
30,Dunedin,NZ,2022-03-07 00:55:27,-45.8742,170.5036,49.71,91,100,7.96
31,Hilo,US,2022-03-07 00:55:07,19.7297,-155.09,79.25,83,41,4.0
32,Kedrovyy,RU,2022-03-07 00:55:27,56.1667,91.8167,37.87,83,100,13.2
33,Vaini,TO,2022-03-07 00:55:28,-21.2,-175.2,86.16,79,75,11.5
34,Mataura,NZ,2022-03-07 00:55:28,-46.1927,168.8643,54.48,83,100,6.87
35,Bredasdorp,ZA,2022-03-07 00:55:28,-34.5322,20.0403,69.28,78,100,9.22
36,Kapaa,US,2022-03-07 00:55:28,22.0752,-159.319,78.48,72,100,1.99
37,Pyu,MM,2022-03-07 00:55:29,18.4833,96.4333,75.76,47,38,0.85
38,Castro,BR,2022-03-07 00:51:21,-24.7911,-50.0119,64.78,90,17,2.21
39,General Roca,AR,2022-03-07 00:55:29,-39.0333,-67.5833,70.2,39,100,25.59
40,Srednekolymsk,RU,2022-03-07 00:55:29,67.45,153.6833,-18.96,95,93,6.91
41,Nouakchott,MR,2022-03-07 00:52:47,18.0858,-15.9785,64.33,40,2,9.04
42,Mumford,GH,2022-03-07 00:55:30,5.2618,-0.759,79.32,90,17,6.78
43,Saint George,US,2022-03-07 00:55:04,37.1041,-113.5841,53.64,38,75,7.0
44,Yaounde,CM,2022-03-07 00:55:30,3.8667,11.5167,68.32,97,100,3.76
45,Riyadh,SA,2022-03-07 00:55:30,24.6877,46.7219,73.54,31,100,13.56
46,Saint Anthony,US,2022-03-07 00:56:31,45.0205,-93.218,29.25,84,100,6.91
47,Bengkulu,ID,2022-03-07 00:56:31,-3.8004,102.2655,79.11,76,91,3.4
48,Mar Del Plata,AR,2022-03-07 00:55:59,-38.0023,-57.5575,67.08,89,40,21.0
49,Mount Gambier,AU,2022-03-07 00:56:31,-37.8333,140.7667,64.31,72,100,13.8
50,Margate,GB,2022-03-07 00:56:31,51.3813,1.3862,42.94,63,68,5.01
51,Ijui,BR,2022-03-07 00:56:32,-28.3878,-53.9147,73.42,95,99,7.78
52,Hermanus,ZA,2022-03-07 00:56:32,-34.4187,19.2345,69.8,89,100,2.64
53,Alibag,IN,2022-03-07 00:56:32,18.6411,72.8792,80.67,73,63,11.83
54,Suntar,RU,2022-03-07 00:56:33,62.1444,117.6319,-6.32,97,97,4.12
55,Pacific Grove,US,2022-03-07 00:56:33,36.6177,-121.9166,62.29,75,75,8.05
56,Butaritari,KI,2022-03-07 00:56:33,3.0707,172.7902,81.75,76,14,16.26
57,Angicos,BR,2022-03-07 00:56:33,-5.6656,-36.6011,78.46,74,61,14.07
58,Nishihara,JP,2022-03-07 00:56:34,26.1842,127.7558,63.68,68,75,8.05
59,Bubaque,GW,2022-03-07 00:56:34,11.2833,-15.8333,77.14,63,11,14.38
60,Nhulunbuy,AU,2022-03-07 00:56:34,-12.2333,136.7667,88.41,70,75,10.36
61,Port-Gentil,GA,2022-03-07 00:56:34,-0.7193,8.7815,81.9,77,100,8.12
62,Sao Joao Da Barra,BR,2022-03-07 00:56:35,-21.6403,-41.0511,77.52,86,4,12.17
63,Bilma,NE,2022-03-07 00:56:35,18.6853,12.9164,83.73,10,100,6.53
64,Namie,JP,2022-03-07 00:56:35,37.4833,141.0,46.98,40,3,21.54
65,Cape Town,ZA,2022-03-07 00:52:04,-33.9258,18.4232,70.27,90,100,14.97
66,Labuhan,ID,2022-03-07 00:56:36,-6.8844,112.2051,84.09,80,100,7.92
67,Black River,JM,2022-03-07 00:56:36,18.0264,-77.8487,78.8,75,1,5.26
68,Ushuaia,AR,2022-03-07 00:56:36,-54.8,-68.3,40.66,81,75,5.75
69,Bluff,NZ,2022-03-07 00:56:36,-46.6,168.3333,54.81,59,62,15.17
70,Port Alfred,ZA,2022-03-07 00:56:37,-33.5906,26.891,75.52,73,100,8.52
71,Jamestown,US,2022-03-07 00:53:12,42.097,-79.2353,49.64,47,0,17.27
72,Avarua,CK,2022-03-07 00:56:37,-21.2078,-159.775,84.25,79,100,12.66
73,Cabedelo,BR,2022-03-07 00:56:37,-6.9811,-34.8339,77.67,66,97,14.9
74,Tera,NE,2022-03-07 00:56:38,14.0078,0.7531,85.57,8,100,6.67
75,Lebu,CL,2022-03-07 00:56:38,-37.6167,-73.65,58.14,89,70,7.2
76,Wamba,NG,2022-03-07 00:56:38,8.9333,8.6,79.56,54,99,2.46
77,Meadow Lake,US,2022-03-07 00:56:38,34.8014,-106.5436,43.29,25,81,20.11
78,Gat,IL,2022-03-07 00:52:51,31.61,34.7642,59.4,100,17,4.12
79,Fort Nelson,CA,2022-03-07 00:56:39,58.8053,-122.7002,44.19,57,75,21.85
80,Aklavik,CA,2022-03-07 00:56:39,68.2191,-135.0107,20.23,84,97,19.6
81,Storsteinnes,NO,2022-03-07 00:56:39,69.2408,19.2344,32.0,95,100,5.61
82,Kstovo,RU,2022-03-07 00:56:39,56.1473,44.1979,22.39,97,99,5.35
83,Poronaysk,RU,2022-03-07 00:56:40,49.2167,143.1167,21.69,72,18,10.13
84,Matara,LK,2022-03-07 00:56:40,5.9485,80.5353,75.18,90,100,3.33
85,Varhaug,NO,2022-03-07 00:56:40,58.6147,5.6457,34.9,82,34,12.28
86,Anadyr,RU,2022-03-07 00:56:40,64.75,177.4833,21.7,85,100,38.03
87,Buala,SB,2022-03-07 00:56:41,-8.145,159.5921,86.18,66,100,2.08
88,Alta Floresta,BR,2022-03-07 00:56:41,-9.8756,-56.0861,70.79,96,100,3.02
89,Qaanaaq,GL,2022-03-07 00:56:41,77.484,-69.3632,2.73,58,0,5.55
90,Svetlogorsk,BY,2022-03-07 00:57:42,52.6333,29.7333,26.78,76,8,5.37
91,Baghdad,IQ,2022-03-07 00:54:33,33.3406,44.4009,62.51,45,75,10.36
92,Steamboat Springs,US,2022-03-07 00:57:42,40.485,-106.8317,23.94,72,100,9.22
93,Corocito,HN,2022-03-07 00:57:42,15.75,-85.7833,80.15,91,7,0.56
94,Port Lincoln,AU,2022-03-07 00:57:42,-34.7333,135.8667,64.81,68,72,16.13
95,Ambikapur,IN,2022-03-07 00:57:43,23.1167,83.2,57.16,26,0,2.15
96,Tecoanapa,MX,2022-03-07 00:57:43,16.5167,-98.75,79.74,68,1,9.28
97,Halenkov,CZ,2022-03-07 00:57:43,49.3174,18.1475,29.98,81,36,4.43
98,Cidreira,BR,2022-03-07 00:57:43,-30.1811,-50.2056,74.57,95,100,7.34
99,Ribeira Grande,PT,2022-03-07 00:57:44,38.5167,-28.7,55.85,71,26,40.22
100,Tuktoyaktuk,CA,2022-03-07 00:57:44,69.4541,-133.0374,14.0,85,75,12.66
101,Aasiaat,GL,2022-03-07 00:57:44,68.7098,-52.8699,-0.18,92,100,14.12
102,Mapiri,BO,2022-03-07 00:57:44,-15.25,-68.1667,69.49,99,100,1.28
103,Makakilo City,US,2022-03-07 00:57:45,21.3469,-158.0858,80.35,51,75,6.91
104,Iqaluit,CA,2022-03-07 00:57:45,63.7506,-68.5145,-21.51,92,11,6.15
105,Mayo,US,2022-03-07 00:57:45,38.8876,-76.5119,73.56,63,100,12.66
106,Agaro,ET,2022-03-07 00:57:45,7.85,36.65,66.07,59,94,3.44
107,Constitucion,CL,2022-03-07 00:56:52,-35.3333,-72.4167,57.2,91,0,3.49
108,Filadelfia,US,2022-03-07 00:55:17,39.9523,-75.1638,69.66,73,100,5.01
109,Mattru,SL,2022-03-07 00:57:46,7.6244,-11.8332,76.91,79,37,0.25
110,Riverton,US,2022-03-07 00:57:46,40.5219,-111.9391,34.3,58,100,8.01
111,Poum,NC,2022-03-07 00:57:46,-20.2333,164.0167,81.36,68,5,7.63
112,Basi,IN,2022-03-07 00:57:47,26.8333,76.0333,68.34,38,100,6.78
113,Saldanha,ZA,2022-03-07 00:57:47,-33.0117,17.9442,66.25,92,0,14.72
